fips,region,time,firms,establishments,net_change,total_job_gains,expanding_job_gains,opening_job_gains,total_job_losses,contracting_job_losses,closing_job_losses
49,Utah,1997,4345.0,4360.0,21903.0,21903.0,0.0,21903.0,0.0,0.0,0.0
49,Utah,1998,4349.0,4374.0,19981.0,19981.0,0.0,19981.0,0.0,0.0,0.0
49,Utah,1999,4336.0,4347.0,21041.0,21041.0,0.0,21041.0,0.0,0.0,0.0
49,Utah,2000,4377.0,4392.0,21728.0,21728.0,0.0,21728.0,0.0,0.0,0.0
49,Utah,2001,4388.0,4406.0,20422.0,20422.0,0.0,20422.0,0.0,0.0,0.0
49,Utah,2002,4315.0,4327.0,21194.0,21194.0,0.0,21194.0,0.0,0.0,0.0
49,Utah,2003,4701.0,4709.0,21104.0,21104.0,0.0,21104.0,0.0,0.0,0.0
49,Utah,2004,4818.0,4824.0,20606.0,20606.0,0.0,20606.0,0.0,0.0,0.0
49,Utah,2005,5239.0,5259.0,22372.0,22372.0,0.0,22372.0,0.0,0.0,0.0
49,Utah,2006,5878.0,5889.0,23442.0,23442.0,0.0,23442.0,0.0,0.0,0.0
49,Utah,2007,6030.0,6040.0,24129.0,24129.0,0.0,24129.0,0.0,0.0,0.0
49,Utah,2008,4914.0,4919.0,18937.0,18937.0,0.0,18937.0,0.0,0.0,0.0
49,Utah,2009,3751.0,3753.0,14885.0,14885.0,0.0,14885.0,0.0,0.0,0.0
49,Utah,2010,3451.0,3462.0,14216.0,14216.0,0.0,14216.0,0.0,0.0,0.0
49,Utah,2011,3546.0,3548.0,13822.0,13822.0,0.0,13822.0,0.0,0.0,0.0
49,Utah,2012,3717.0,3725.0,14592.0,14592.0,0.0,14592.0,0.0,0.0,0.0
49,Utah,2013,3713.0,3715.0,14473.0,14473.0,0.0,14473.0,0.0,0.0,0.0
49,Utah,2014,3644.0,3647.0,14160.0,14160.0,0.0,14160.0,0.0,0.0,0.0
49,Utah,2015,4340.0,4354.0,16595.0,16595.0,0.0,16595.0,0.0,0.0,0.0
49,Utah,2016,4280.0,4288.0,15581.0,15581.0,0.0,15581.0,0.0,0.0,0.0
49,Utah,2017,4209.0,4211.0,15843.0,15843.0,0.0,15843.0,0.0,0.0,0.0
49,Utah,2018,4670.0,4680.0,17680.0,17680.0,0.0,17680.0,0.0,0.0,0.0
49,Utah,2019,4923.0,4934.0,18704.0,18704.0,0.0,18704.0,0.0,0.0,0.0
49,Utah,2020,4836.0,4845.0,17386.0,17386.0,0.0,17386.0,0.0,0.0,0.0
49,Utah,2021,5693.0,5702.0,20108.0,20108.0,0.0,20108.0,0.0,0.0,0.0
50,Vermont,1994,948.0,948.0,3431.0,3431.0,0.0,3431.0,0.0,0.0,0.0
50,Vermont,1995,897.0,899.0,3704.0,3704.0,0.0,3704.0,0.0,0.0,0.0
50,Vermont,1996,957.0,964.0,3599.0,3599.0,0.0,3599.0,0.0,0.0,0.0
50,Vermont,1997,962.0,962.0,3115.0,3115.0,0.0,3115.0,0.0,0.0,0.0
50,Vermont,1998,900.0,901.0,2974.0,2974.0,0.0,2974.0,0.0,0.0,0.0
50,Vermont,1999,861.0,861.0,2926.0,2926.0,0.0,2926.0,0.0,0.0,0.0
50,Vermont,2000,922.0,922.0,2974.0,2974.0,0.0,2974.0,0.0,0.0,0.0
50,Vermont,2001,790.0,791.0,2740.0,2740.0,0.0,2740.0,0.0,0.0,0.0
50,Vermont,2002,741.0,741.0,2528.0,2528.0,0.0,2528.0,0.0,0.0,0.0
50,Vermont,2003,860.0,860.0,3127.0,3127.0,0.0,3127.0,0.0,0.0,0.0
50,Vermont,2004,862.0,862.0,3017.0,3017.0,0.0,3017.0,0.0,0.0,0.0
50,Vermont,2005,784.0,784.0,2759.0,2759.0,0.0,2759.0,0.0,0.0,0.0
50,Vermont,2006,783.0,783.0,2565.0,2565.0,0.0,2565.0,0.0,0.0,0.0
50,Vermont,2007,721.0,721.0,2438.0,2438.0,0.0,2438.0,0.0,0.0,0.0
50,Vermont,2008,858.0,858.0,2982.0,2982.0,0.0,2982.0,0.0,0.0,0.0
50,Vermont,2009,586.0,586.0,2153.0,2153.0,0.0,2153.0,0.0,0.0,0.0
50,Vermont,2010,553.0,554.0,2090.0,2090.0,0.0,2090.0,0.0,0.0,0.0
50,Vermont,2011,606.0,606.0,2274.0,2274.0,0.0,2274.0,0.0,0.0,0.0
