fips,region,type,category,time,rne,ose
20,Kansas,Total,Total,2003,0.0020364508148242866,0.705985827858398
10,Delaware,Total,Total,2003,0.0017977780083945417,0.9382907431184432
24,Maryland,Total,Total,2003,0.0038584153558447387,0.7439458446944412
11,District of Columbia,Total,Total,2003,0.0021540461743777737,0.8179788165271636
51,Virginia,Total,Total,2003,0.002689780698768647,0.7178844323018966
54,West Virginia,Total,Total,2003,0.002686815820954233,0.9249702877503331
37,North Carolina,Total,Total,2003,0.002896189581797719,0.7337832916655518
45,South Carolina,Total,Total,2003,0.0026980535061206703,0.9267422677141064
13,Georgia,Total,Total,2003,0.0037069336942002567,0.8352464389396193
12,Florida,Total,Total,2003,0.002988347109667744,0.805301528129553
21,Kentucky,Total,Total,2003,0.0030729760182550817,0.8057766536270609
47,Tennessee,Total,Total,2003,0.0026097583192182163,0.8268961188146415
01,Alabama,Total,Total,2003,0.0008587056927307586,0.8394306162628344
28,Mississippi,Total,Total,2003,0.0021452555330027487,0.8779016828103515
05,Arkansas,Total,Total,2003,0.0031679446214325016,0.7595259894776857
22,Louisiana,Total,Total,2003,0.0034191126498126553,0.8322166667275711
40,Oklahoma,Total,Total,2003,0.0034257461380254872,0.8573860911101568
48,Texas,Total,Total,2003,0.004461705401681369,0.7696012199572404
30,Montana,Total,Total,2003,0.006632312415290263,0.841267767824394
16,Idaho,Total,Total,2003,0.0035386733457060124,0.9128124206398551
56,Wyoming,Total,Total,2003,0.00401857554985676,0.8080177266527081
08,Colorado,Total,Total,2003,0.0038076730443352596,0.7595078501033594
35,New Mexico,Total,Total,2003,0.005884178789738749,0.6210055312434123
04,Arizona,Total,Total,2003,0.0031844314950319045,0.7501964999661621
